Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude,Found,Quality,Source
Politics & General News,,darkblue,white,,<center><font size= 4>1810</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 189u?-1uuu
<br><b>Location:</b> Del Rio, Texas
","Del Rio, Texas",29.3708857,-100.8958674,"Del Rio, TX 78840, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>7 días del Diario de la Marina en el Exilio</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1960-1961
<br><b>Location:</b> Miami, Florida
<br><b>Language:</b> Spanish; English
<br><b> Distribution: </b> Weekly 
 
","Miami, Florida",25.7616798,-80.1917902,"Miami, FL, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>ABC</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 19uu–19uu
<br><b>Location:</b> Chicago, Illinois
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> Armando Almonte
","Chicago, Illinois",41.8781136,-87.6297982,"Chicago, IL, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Acción</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 19uu-19uu
<br><b>Location:</b>Fullerton, California
<br><b>Language:</b> Spanish
<br><b> Distribution: </b>Weekly 
<br><b> Editor/Director/ Proprietor: </b> Francisco Moreno
","Fullerton, California",33.8703645,-117.9242123,"Fullerton, CA, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Acción</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Accio%CC%81n%20(kingsville).JPG?raw=true,"<b> Years: </b> 1931-193u
<br><b>Location:</b>Kingsville, Texas
<br><b>Language:</b>Spanish 
<br><b> Distribution: </b> Semimonthly, monthly
<br><b> Editor/Director/ Proprietor: </b> Rev. C.C. Acevedo
","Kingsville, Texas",27.5158689,-97.856109,"Kingsville, TX 78363, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Acción Cívica</center></Font>,https://raw.githubusercontent.com/gbventura/Hispanic_Periodicals/master/Newspaper/No%20Image%20.jpg,"<p><b> Years: </b> 1928-19uu
<br><b>Location:</b>New York, New York
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Monthly

","New York, New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Actualidad</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1936?-19uu
<br><b>Location:</b>El Paso, Texas
<br><b>Language:</b> Spanish
<br><b> Editor/Director/ Proprietor: </b> Federerac. Socieades Latinoamericanas
","El Paso, Texas",31.7618778,-106.4850217,"El Paso, TX, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Actualidades</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1914-1930
<br><b>Location:</b> Rio Grande, Texas
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> Agapito Cepeda (Director)
","Rio Grande, Texas",26.3797874,-98.8203046,"Rio Grande City, TX 78582, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Actualidades Médicas</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1929-1932
<br><b>Location:</b> Ruthreford, New Jersey 
<br><b>Language:</b> Spanish

","Rutherford, New Jersey",40.826489,-74.1068091,"Rutherford, NJ, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Adelante</center></Font>,https://raw.githubusercontent.com/gbventura/Hispanic_Periodicals/master/Newspaper/No%20Image%20.jpg,"<p><b> Years: </b> 1916-1920
<br><b>Location:</b>San Antonio, Texas
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Monthly

","San Antonio, Texas",29.4241219,-98.4936282,"San Antonio, TX, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Adelante</center></Font>,https://raw.githubusercontent.com/gbventura/Hispanic_Periodicals/master/Newspaper/No%20Image%20.jpg,"<p><b> Years: </b> 19uu-19uu
<br><b>Location:</b>Santa Fe, New Mexico
<br><b>Language:</b>Spanish 
<br><b> Editor/Director/ Proprietor: </b> National Missions Presbit. Church
","Santa Fe, New Mexico",35.6869752,-105.937799,"Santa Fe, NM, USA",Match,Google
Arts & Culture,,darkblue,white,,<center><font size= 4>Adelanto Bienestar Cultura</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1936-1950?
<br><b>Location:</b>Chicago, Illinois
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Weekly

","Chicago, Illinois",41.8781136,-87.6297982,"Chicago, IL, USA",Match,Google
Professions/Industries,,green,white,,<center><font size= 4>Agricultura de las Américas</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1952-.
<br><b>Location:</b>Overland Park, Kansas
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Monthly
<br><b> Editor/Director/ Proprietor: </b> Intertec. Publishing Corporation
","Overland Park, Kansas",38.9822282,-94.6707917,"Overland Park, KS, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Ahora</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1957-.
<br><b>Location:</b>Bakersfield, California
<br><b>Language:</b> English; Spanish
<br><b> Distribution: </b> Monthly

","Bakersfield, California",35.3732921,-119.0187125,"Bakersfield, CA, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Ahora</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 19uu-.
<br><b>Location:</b> El Paso, Texas;  Nashville,Tennesse
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Quarterly
<br><b> Editor/Director/ Proprietor: </b> Casa Bautista de Publicaciones
","El Paso; Nashville, Texas; Tennesse",31.7804992,-106.4086838,"6140 Gateway Blvd E, El Paso, TX 79905, USA",Partial Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Ahora</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Ahora%20(New%20York).JPG?raw=true,"<p><b> Years: </b> 19uu-19uu
<br><b>Location:</b> , New York
<br><b>Language</b> Spanish
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> Ahora Publishing Co. Inc.
"," , New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Aki Nueva York</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Aki%20(Nueva%20York).JPG?raw=true,"<p><b> Years: </b> 1955-19uu
<br><b>Location:</b>New York, New York
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> Enrique Ungria (Editor,publisher)/Daniel S. Ramos (Director)
","New York, New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Al Día</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg,"<p><b> Years: </b> 1920-1uuu
<br><b>Location:</b>Tucson, Arizona
","Tucson, Arizona",32.2226066,-110.9747108,"Tucson, AZ, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alba de Nueva York</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/Alba%20de%20Nueva%20York%20(New%20York)%20.png?raw=true,"<p><b> Years: </b> 1954-19uu
<br><b>Location:</b>New York, New York
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Weekly
<br><b> Editor/Director/ Proprietor: </b> Emile Alcedo Mayore (Director)
","New York, New York",40.7127753,-74.0059728,"New York, NY, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alba Roja</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1912-19uu
<br><b>Location:</b>McQueenley, Texas
<br><b>Language:</b> Spanish

","McQueenley, Texas",29.6000331,-98.0449628,"McQueeney, TX, USA",Partial Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Alba Roja</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1905-19uu
<br><b>Location:</b>San Francisco, California
<br><b>Language:</b> Spanish
","San Francisco, California",37.7749295,-122.4194155,"San Francisco, CA, USA",Match,Google
Politics & General News,,darkblue,white,,<center><font size= 4>Albores Seráficos</center></Font>,https://github.com/gbventura/Hispanic_Periodicals/blob/master/Newspaper/No%20Image%20.jpg?raw=true,"<p><b> Years: </b> 1930-19uu
<br><b>Location:</b>El Paso, Texas
<br><b>Language:</b> Spanish
<br><b> Distribution: </b> Quarterly
<br><b> Editor/Director/ Proprietor: </b> Roger Bacon College (Francsican Fathers)
","El Paso, Texas",31.7618778,-106.4850217,"El Paso, TX, USA",Match,Google
